Term,Course Code,Points,Passed
Fall 2019,CC1010,3,TRUE
Fall 2019,APMAE2001,4,TRUE
Fall 2019,UN1403,4,TRUE
Fall 2019,UN1401,3,TRUE
Fall 2019,W1004,3,TRUE
Spring 2020,UN1404,4,FALSE
Spring 2020,E1006,3,FALSE
Spring 2020,UN1002,1,TRUE
Spring 2020,E1102,4,FALSE
Spring 2020,UN1402,3,FALSE
Spring 2020,UN1500,3,FALSE
Fall 2020,UN2005,4,FALSE
Fall 2020,W3134,3,FALSE
Fall 2020,W3203,3,FALSE
Fall 2020,UN1494,3,FALSE
Fall 2020,CC1001,4,FALSE
Fall 2020,UN1101,3,FALSE
Spring 2021,CC1002,4,FALSE
Spring 2021,UN2006,4,FALSE
Spring 2021,UN2501,3,FALSE
Spring 2021,W3157,4,FALSE
Spring 2021,W3251,4,FALSE
Fall 2021,W3827,3,FALSE
Fall 2021,W3261,3,FALSE
Fall 2021,UN1105,4,FALSE
Fall 2021,UN2443,4,FALSE
Fall 2021,UN2495,1.5,FALSE
Spring 2022,UN1001,3,FALSE
Spring 2022,UN2444,4,FALSE
Spring 2022,UN2496,1.5,FALSE
Spring 2022,UN1121,3,FALSE
Spring 2023,UN1002,1,FALSE